Codebase,Feature,Cluster,CLIP,CRIP,CROP,CWOP,CIP,CDDIP,COP,CPIF,CIOF,SCCP,FCCP,Orchestrator
ldod-static,VirtualEditionController.associateCategory,1,0.642857,0.357143,0.571429,0.428571,0.466667,0.500000,0.646154,0.255954,1.653543,0.616822,0.665722,0
ldod-static,VirtualEditionController.associateCategory,2,0.538462,0.461538,0.461538,0.538462,0.216667,0.615385,0.100000,0.854557,0.551181,0.189720,0.142776,1
ldod-static,VirtualEditionController.associateCategory,0,0.400000,0.600000,0.714286,0.285714,0.083333,0.400000,0.053846,2.563671,0.771654,0.016822,0.035694,0
ldod-static,VirtualEditionController.associateCategory,3,0.714286,0.285714,0.384615,0.615385,0.233333,0.857143,0.200000,0.325818,1.023622,0.176636,0.121246,0
ldod-static,VirtualEditionController.createVirtualEdition,0,0.333333,0.666667,0.833333,0.166667,0.375000,0.454545,0.434211,0.595760,1.256544,0.205419,0.245502,0
ldod-static,VirtualEditionController.createVirtualEdition,1,0.425000,0.575000,0.633803,0.366197,0.454545,0.300000,0.467105,0.458901,1.115183,0.736453,0.515394,0
ldod-static,VirtualEditionController.createVirtualEdition,2,0.133333,0.866667,0.866667,0.133333,0.170455,0.200000,0.098684,1.945339,0.628272,0.058128,0.223511,1
ldod-static,SignupController.signup,3,0.705882,0.294118,0.432432,0.567568,0.212500,0.705882,0.272059,0.751500,1.298059,0.153021,0.219590,0
ldod-static,SignupController.signup,0,0.461538,0.538462,0.538462,0.461538,0.162500,0.692308,0.095588,1.945058,0.596405,0.167641,0.103073,0
ldod-static,SignupController.signup,2,0.620690,0.379310,0.488372,0.511628,0.362500,0.689655,0.316176,0.631513,0.884325,0.285900,0.446863,1
ldod-static,SignupController.signup,1,0.857143,0.142857,0.302326,0.697674,0.262500,0.571429,0.316176,0.671929,1.221211,0.393437,0.179898,0
ldod-static,VirtualEditionController.editVirtualEdition,1,0.459459,0.540541,0.589286,0.410714,0.425287,0.486486,0.430769,0.253894,1.124697,0.743940,0.658389,0
ldod-static,VirtualEditionController.editVirtualEdition,0,0.181818,0.818182,0.846154,0.153846,0.126437,0.363636,0.100000,1.206506,0.878213,0.039776,0.105369,0
ldod-static,VirtualEditionController.editVirtualEdition,2,0.571429,0.428571,0.428571,0.571429,0.080460,0.571429,0.053846,2.315517,0.743103,0.144189,0.084564,1
ldod-static,VirtualEditionController.editVirtualEdition,4,0.500000,0.500000,0.574074,0.425926,0.367816,0.375000,0.415385,0.224082,1.253987,0.072094,0.116779,0
ldod-static,AdminController.deleteAllFragments,2,1.000000,0.000000,0.000000,1.000000,0.086957,1.000000,0.032086,2.707456,0.396320,0.090649,0.000000,0
ldod-static,AdminController.deleteAllFragments,3,0.714286,0.285714,0.407407,0.592593,0.202899,0.857143,0.144385,0.361278,0.764331,0.098984,0.200000,0
ldod-static,AdminController.deleteAllFragments,4,1.000000,0.000000,0.368421,0.631579,0.115942,1.000000,0.101604,0.513075,0.941260,0.032040,0.058475,1
ldod-static,AdminController.deleteAllFragments,0,0.937500,0.062500,0.400000,0.600000,0.231884,0.750000,0.454545,0.957740,2.105449,0.430581,0.296610,0
ldod-static,AdminController.deleteAllFragments,1,0.800000,0.200000,0.340000,0.660000,0.362319,0.800000,0.267380,0.460452,0.792640,0.347747,0.344915,0
ldod-static,AdminController.loadVirtualFragments,0,0.333333,0.666667,0.821429,0.178571,0.340909,0.600000,0.312849,1.188245,1.002517,0.113402,0.241987,0
ldod-static,AdminController.loadVirtualFragments,1,0.656250,0.343750,0.539326,0.460674,0.363636,0.500000,0.497207,0.804940,1.493706,0.649853,0.518029,0
ldod-static,AdminController.loadVirtualFragments,2,0.375000,0.625000,0.625000,0.375000,0.181818,0.500000,0.089385,1.148637,0.537063,0.128130,0.168269,1
ldod-static,AdminController.loadVirtualFragments,3,0.900000,0.100000,0.277778,0.722222,0.113636,0.400000,0.100559,0.858177,0.966713,0.108616,0.043670,0
ldod-static,AdminController.deleteFragment,0,0.937500,0.062500,0.400000,0.600000,0.231884,0.750000,0.454545,0.957740,2.105449,0.430548,0.305623,0
ldod-static,AdminController.deleteFragment,1,0.800000,0.200000,0.340000,0.660000,0.362319,0.800000,0.267380,0.460452,0.792640,0.346233,0.341483,0
ldod-static,AdminController.deleteFragment,2,1.000000,0.000000,0.000000,1.000000,0.086957,1.000000,0.032086,2.707456,0.396320,0.089185,0.000000,0
ldod-static,AdminController.deleteFragment,3,0.714286,0.285714,0.407407,0.592593,0.202899,0.857143,0.144385,0.361278,0.764331,0.100974,0.195599,0
ldod-static,AdminController.deleteFragment,4,1.000000,0.000000,0.368421,0.631579,0.115942,1.000000,0.101604,0.513075,0.941260,0.033060,0.061125,1
ldod-static,RecommendationController.createLinearVirtualEdition,1,0.538462,0.461538,0.596154,0.403846,0.481481,0.384615,0.495238,0.707865,1.179487,0.747322,0.584847,1
ldod-static,RecommendationController.createLinearVirtualEdition,0,0.413043,0.586957,0.802083,0.197917,0.425926,0.543478,0.457143,0.859551,1.230769,0.216131,0.278368,0
ldod-static,RecommendationController.createLinearVirtualEdition,2,0.200000,0.800000,0.800000,0.200000,0.092593,0.300000,0.047619,1.432584,0.589744,0.036547,0.115187,0
ldod-static,VirtualEditionController.reorderVirtualEdition,0,0.441176,0.558824,0.691358,0.308642,0.333333,0.558824,0.387560,0.816104,1.285206,0.241426,0.284819,0
ldod-static,VirtualEditionController.reorderVirtualEdition,2,1.000000,0.000000,0.000000,1.000000,0.049020,1.000000,0.023923,2.754350,0.539469,0.078315,0.000000,0
ldod-static,VirtualEditionController.reorderVirtualEdition,3,0.714286,0.285714,0.407407,0.592593,0.137255,0.857143,0.129187,0.533606,1.040405,0.102619,0.105687,0
