Codebase,Feature,Orchestrator,Entities,Initial System Complexity,Final System Complexity,System Complexity Reduction,Initial Functionality Complexity,Final Functionality Complexity,Functionality Complexity Reduction,Initial Invocations Count,Initial Invocations Count W/ Empties,Final Invocations Count,Total Invocation Merges,Initial Accesses count,Final Accesses count,Total Trace Sweeps w/ Merges,Clusters with multiple invocations,CLIP,CRIP,CROP,CWOP,CIP,CDDIP,COP,CPIF,CIOF,SCCP,FCCP
Acme-Taxi-maven,UserUserController.save,1,"Review, Announcement, User, ",689,685,4,293,198,95,12,15,7,6,32,17,1,1,0.400000,0.600000,0.600000,0.400000,0.416667,0.600000,0.312500,1.800000,0.923077,0.255443,0.317406
Acme-Taxi-maven,RequestUserController.saveEdit,3,"Configuration, ",466,110,356,191,74,117,26,48,6,26,31,10,6,1,0.000000,1.000000,1.000000,0.000000,0.076923,0.500000,0.064516,0.548303,0.869565,0.000000,0.073298
Acme-Taxi-maven,RequestUserController.saveEdit,1,"SpamWord, User, ",466,107,359,191,75,116,26,40,7,22,31,11,3,2,0.166667,0.833333,0.833333,0.166667,0.230769,0.333333,0.193548,1.206266,0.869565,0.128755,0.319372
Acme-Taxi-maven,RequestUserController.saveEdit,2,"Driver, Request, ",466,135,331,191,75,116,26,32,7,24,31,11,1,1,0.700000,0.300000,0.272727,0.727273,0.384615,0.300000,0.354839,0.913838,0.956522,0.450644,0.125654
Acme-Taxi-maven,RequestUserController.saveEdit,0,"Actor, DomainEntity, UserAccount, ",466,110,356,191,88,103,26,37,7,21,31,12,1,1,0.250000,0.750000,0.833333,0.166667,0.307692,0.500000,0.387097,1.331593,1.304348,0.420601,0.424084
Acme-Taxi-maven,ReservationUserController.suspend,4,"Reservation, Service, Mechanic, RepairShop, ",373,110,263,444,125,319,22,27,5,20,56,14,2,1,0.111111,0.888889,0.956522,0.043478,0.409091,0.666667,0.410714,0.769737,1.131148,0.034853,0.369369
Acme-Taxi-maven,ReservationUserController.suspend,0,"Actor, Admin, DomainEntity, UserAccount, Folder, Message, ",373,112,261,444,143,301,22,26,5,20,56,14,1,1,0.666667,0.333333,0.586207,0.413793,0.409091,0.000000,0.517857,0.651316,1.426230,0.965147,0.430180
Acme-Taxi-maven,ReservationUserController.suspend,1,"User, ",373,211,162,444,154,290,22,36,5,21,56,17,3,2,0.000000,1.000000,1.000000,0.000000,0.181818,0.000000,0.071429,1.578947,0.442623,0.000000,0.171171
Acme-Taxi-maven,RequestDriverController.accept,1,"User, ",432,158,274,533,125,408,32,60,4,31,57,12,3,1,0.000000,1.000000,1.000000,0.000000,0.062500,0.000000,0.035088,1.423729,0.642857,0.000000,0.067542
Acme-Taxi-maven,RequestDriverController.accept,2,"Car, Driver, Request, ",432,258,174,533,155,378,32,34,5,28,57,17,2,1,0.066667,0.933333,0.916667,0.083333,0.468750,0.333333,0.421053,0.762712,1.028571,0.138889,0.440901
Acme-Taxi-maven,RequestDriverController.accept,0,"Actor, Admin, DomainEntity, UserAccount, Folder, Message, ",432,198,234,533,164,369,32,35,5,30,57,17,1,0,0.400000,0.600000,0.612903,0.387097,0.468750,0.066667,0.543860,0.813559,1.328571,0.861111,0.465291
Acme-Taxi-maven,ReviewAdminController.delete,0,"DomainEntity, ",159,163,-4,281,67,214,26,44,5,23,29,6,2,1,0.000000,1.000000,1.000000,0.000000,0.153846,0.250000,0.137931,1.984216,0.941176,0.000000,0.071174
Acme-Taxi-maven,ReviewAdminController.delete,2,"Driver, ",159,163,-4,281,67,214,26,42,5,31,29,6,2,1,0.200000,0.800000,0.800000,0.200000,0.192308,0.000000,0.172414,0.818489,0.941176,0.213836,0.185053
Acme-Taxi-maven,ReviewAdminController.delete,1,"Review, User, ",159,163,-4,281,79,202,26,29,6,22,29,7,2,2,0.166667,0.833333,0.866667,0.133333,0.461538,0.083333,0.517241,0.378805,1.176471,0.547170,0.558719
Acme-Taxi-maven,ReviewAdminController.delete,4,"RepairShop, ",159,161,-2,281,80,201,26,42,6,24,29,7,3,2,0.200000,0.800000,0.800000,0.200000,0.192308,0.200000,0.172414,0.818489,0.941176,0.238994,0.170819
Acme-Taxi-maven,ReviewUserController.delete,0,"DomainEntity, UserAccount, ",161,162,-1,383,73,310,32,50,5,29,36,7,2,1,0.000000,1.000000,1.000000,0.000000,0.218750,0.142857,0.194444,1.453725,0.937500,0.000000,0.101828
Acme-Taxi-maven,ReviewUserController.delete,2,"Driver, ",161,163,-2,383,76,307,32,54,5,37,36,7,2,1,0.200000,0.800000,0.800000,0.200000,0.156250,0.000000,0.138889,1.042889,0.937500,0.211180,0.146214
Acme-Taxi-maven,ReviewUserController.delete,4,"RepairShop, ",161,162,-1,383,87,296,32,54,6,30,36,8,3,2,0.200000,0.800000,0.800000,0.200000,0.156250,0.200000,0.138889,1.042889,0.937500,0.242236,0.135770
Acme-Taxi-maven,ReviewUserController.delete,1,"Review, User, ",161,163,-2,383,107,276,32,35,6,28,36,9,2,2,0.133333,0.866667,0.894737,0.105263,0.468750,0.066667,0.527778,0.460497,1.187500,0.546584,0.605744
Acme-Taxi-maven,RequestUserController.save,1,"SpamWord, User, ",435,280,155,167,69,98,23,34,5,21,27,9,3,2,0.166667,0.833333,0.833333,0.166667,0.260870,0.333333,0.222222,1.139334,0.878431,0.135632,0.347305
Acme-Taxi-maven,RequestUserController.save,3,"Configuration, ",435,278,157,167,70,97,23,42,5,22,27,9,4,1,0.000000,1.000000,1.000000,0.000000,0.086957,0.500000,0.074074,0.517879,0.878431,0.000000,0.083832
Acme-Taxi-maven,RequestUserController.save,2,"Driver, Request, ",435,307,128,167,71,96,23,30,6,22,27,10,1,1,0.750000,0.250000,0.222222,0.777778,0.347826,0.375000,0.333333,0.961776,0.988235,0.411494,0.083832
Acme-Taxi-maven,RequestUserController.save,0,"Actor, DomainEntity, UserAccount, ",435,252,183,167,84,83,23,33,7,17,27,12,1,1,0.285714,0.714286,0.800000,0.200000,0.304348,0.428571,0.370370,1.381011,1.254902,0.452874,0.425150
Acme-Taxi-maven,RequestUserController.cancel,2,"Driver, Request, ",397,96,301,515,149,366,29,36,5,24,51,13,1,1,0.090909,0.909091,0.941176,0.058824,0.379310,0.454545,0.333333,0.841079,0.950311,0.062972,0.306796
Acme-Taxi-maven,RequestUserController.cancel,0,"Actor, Admin, DomainEntity, UserAccount, Folder, Message, ",397,99,298,515,156,359,29,35,5,30,51,13,2,1,0.500000,0.500000,0.571429,0.428571,0.413793,0.083333,0.549020,0.674663,1.434783,0.937028,0.446602
Acme-Taxi-maven,RequestUserController.cancel,1,"User, ",397,269,128,515,184,331,29,46,7,27,51,20,4,2,0.000000,1.000000,1.000000,0.000000,0.206897,0.000000,0.117647,1.484258,0.614907,0.000000,0.221359
Acme-Taxi-maven,ReviewUserController.save,2,"Driver, ",247,128,119,409,77,332,34,56,5,41,40,9,3,1,0.166667,0.833333,0.833333,0.166667,0.176471,0.000000,0.150000,0.879581,0.909091,0.141700,0.171149
Acme-Taxi-maven,ReviewUserController.save,0,"Actor, DomainEntity, UserAccount, ",247,217,30,409,78,331,34,55,5,30,40,8,2,0,0.142857,0.857143,0.857143,0.142857,0.205882,0.285714,0.175000,1.649215,0.909091,0.222672,0.083130
Acme-Taxi-maven,ReviewUserController.save,4,"RepairShop, ",247,129,118,409,90,319,34,56,6,33,40,10,4,2,0.166667,0.833333,0.833333,0.166667,0.176471,0.166667,0.150000,1.026178,0.909091,0.157895,0.158924
Acme-Taxi-maven,ReviewUserController.save,1,"Review, SpamWord, User, ",247,245,2,409,106,303,34,38,7,30,40,12,1,2,0.133333,0.866667,0.857143,0.142857,0.441176,0.066667,0.525000,0.445026,1.272727,0.477733,0.572127
